./tes# ./testIf GET InternetGatewayDevice.
out0 0 --> parameter = InternetGatewayDevice.ManagementServer.URL | value = http://10.64.16.14:9034/TR069ACS
--> parameter = InternetGatewayDevice.ManagementServer.Username | value = TIadmin
--> parameter = InternetGatewayDevice.ManagementServer.Password | value = TIadmin
--> parameter = InternetGatewayDevice.ManagementServer.PeriodicInformEnable | value = 1
--> parameter = InternetGatewayDevice.ManagementServer.PeriodicInformInterval | value = 120
--> parameter = InternetGatewayDevice.ManagementServer.ParameterKey | value = 500000132
--> parameter = InternetGatewayDevice.ManagementServer.ConnectionRequestURL | value = http://10.64.2.207:7170/ConnectionRequest
--> parameter = InternetGatewayDevice.ManagementServer.ConnectionRequestUsername | value = admin
--> parameter = InternetGatewayDevice.ManagementServer.ConnectionRequestPassword | value = admin
--> parameter = InternetGatewayDevice.ManagementServer.PeriodicInformTime | value = 1970-01-01T00:02:00Z
--> parameter = InternetGatewayDevice.ManagementServer.ManageableDeviceNumberOfEntries | value = 0
--> parameter = InternetGatewayDevice.ManagementServer.ManageableDeviceNotificationLimit | value = 0
--> parameter = InternetGatewayDevice.ManagementServer.UpgradesManaged | value = 0
--> parameter = InternetGatewayDevice.ManagementServer.X_TELECOMITALIA_IT_ServiceRealm | value = alicebiz.mgmt
--> parameter = InternetGatewayDevice.ManagementServer.X_TELECOMITALIA_IT_ManagementConnection | value = InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.
--> parameter = InternetGatewayDevice.ManagementServer.KickURL | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Enable | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.MaxQueues | value = 8
--> parameter = InternetGatewayDevice.QueueManagement.MaxClassificationEntries | value = 4
--> parameter = InternetGatewayDevice.QueueManagement.ClassificationNumberOfEntries | value = 3
--> parameter = InternetGatewayDevice.QueueManagement.MaxQueueEntries | value = 4
--> parameter = InternetGatewayDevice.QueueManagement.QueueNumberOfEntries | value = 3
--> parameter = InternetGatewayDevice.QueueManagement.DefaultQueue | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.DefaultDSCPMark | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.ClassificationKey | value = 3
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.ClassificationEnable | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.ClassificationStatus | value = Enabled
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.ClassificationOrder | value = 3
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.DestIP | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.DestMask | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.DestIPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.SourceIP | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.SourceMask | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.SourceIPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.Protocol | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.ProtocolExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.DestPort | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.DestPortRangeMax | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.DestPortExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.SourcePort | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.SourcePortRangeMax | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.SourcePortExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.DSCPCheck | value = 8
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.DSCPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.DSCPMark | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.EthernetPriorityCheck | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.EthernetPriorityExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.EthernetPriorityMark | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.VLANIDCheck | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.VLANIDExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.3.ClassQueue | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.ClassificationKey | value = 2
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.ClassificationEnable | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.ClassificationStatus | value = Enabled
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.ClassificationOrder | value = 2
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.DestIP | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.DestMask | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.DestIPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.SourceIP | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.SourceMask | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.SourceIPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.Protocol | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.ProtocolExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.DestPort | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.DestPortRangeMax | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.DestPortExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.SourcePort | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.SourcePortRangeMax | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.SourcePortExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.DSCPCheck | value = 24
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.DSCPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.DSCPMark | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.EthernetPriorityCheck | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.EthernetPriorityExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.EthernetPriorityMark | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.VLANIDCheck | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.VLANIDExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.2.ClassQueue | value = 2
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ClassificationKey | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ClassificationEnable | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ClassificationStatus | value = Enabled
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ClassificationOrder | value = 1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DestIP | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DestMask | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.DestIPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.SourceIP | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.SourceMask | value = 
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.SourceIPExclude | value = 0
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.Protocol | value = -1
--> parameter = InternetGatewayDevice.QueueManagement.Classification.1.ProtocolExclude | value = 0
